00:e5:44:fa:05:e7
01:89:45:1d:f1:29
01:c2:10:45:2b:25
02:19:9d:be:a5:5e
02:31:85:7b:6d:7f
02:3b:b2:9a:c6:79
02:46:a2:db:5d:75
02:73:05:81:59:d1
02:84:ea:67:78:6c
02:92:57:b2:68:93
02:de:28:cd:e3:82
03:c3:80:19:7a:09
04:57:83:8c:62:15
04:d6:aa:e9:85:13
04:d8:54:95:8b:29
05:96:d0:a1:34:43
05:b0:8c:49:d6:81
06:3f:bd:a2:0b:ce
06:4d:1b:6b:d3:8e
06:55:01:5d:63:bd
06:71:e5:d8:6f:32
06:aa:6f:4d:65:e2
06:e3:28:df:99:93
07:f1:af:4c:4a:52
08:22:8f:03:df:53
08:77:fb:a6:b7:32
08:d7:84:05:6c:57
09:14:87:37:56:12
09:7f:5f:a1:05:d3
09:d6:58:8c:69:06
0a:1a:ab:61:0b:da
0a:1b:bf:95:4a:03
0a:43:9e:77:af:7a
0a:57:97:67:7e:7e
0a:63:6d:48:b7:ba
0a:8c:b9:83:ed:12
0a:b7:48:bc:07:f5
0a:bc:7f:94:ca:da
0a:d0:de:81:be:1c
0a:d6:5a:a3:a9:8a
0a:da:3a:eb:c5:72
0a:db:61:6a:b6:66
0a:f5:ea:dc:7f:81
0b:bc:a3:29:d4:8d
0b:dd:c0:14:27:43
0c:37:9b:36:56:18
0c:a2:0c:b2:b8:86
0d:35:fc:81:ef:7f
0d:46:6b:a6:fe:b5
0d:b2:81:3d:7c:af
0d:f4:2f:39:5b:f0
0e:06:e5:6a:ca:9d
0e:1e:b4:81:f7:71
0e:20:91:85:04:f6
0e:3b:e2:51:4c:e4
0e:57:28:8f:b1:a9
0e:90:12:79:28:8e
0e:b1:4c:52:17:ef
0e:b8:14:01:ac:ed
0e:f0:22:83:e4:94
0f:41:fa:f6:e3:46
0f:b3:25:38:d6:47
10:09:88:f5:af:37
11:c2:d4:70:5b:b9
11:fd:73:77:6e:a4
12:02:24:8c:ba:d4
12:2d:91:26:85:26
12:41:52:89:57:f3
12:46:0d:be:fa:03
12:4e:26:aa:a0:88
12:54:18:16:5f:e3
12:85:ec:69:48:b6
12:a8:2a:5e:a9:bc
12:c3:93:47:ec:00
12:dd:e9:37:22:42
13:05:76:22:1e:db
13:20:ed:dc:e4:ab
14:1d:22:0c:44:09
14:37:53:4d:e2:e4
15:81:e3:4a:46:8d
16:1b:3f:3a:e6:ee
16:69:97:60:fb:e7
16:7f:b8:86:25:18
16:90:48:3c:e3:02
16:c3:20:d3:88:1b
16:d7:f4:4f:16:22
16:d8:ae:68:23:80
16:dd:76:cb:57:65
